amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
SKODA,SUPERB ESTATE,1.5 TSI e-TEC Sportline 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,1.5 TSI iV Laurin + Klement DSG 5dr,5,93,87,82,80
SKODA,SUPERB ESTATE,1.5 TSI iV SE L DSG 5dr,5,93,87,82,80
SKODA,SUPERB ESTATE,1.5 TSI iV SE Technology DSG 5dr,5,93,87,82,80
SKODA,SUPERB ESTATE,1.5 TSI iV Sportline 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,2.0 TSI 204 Laurin + Klement 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,2.0 TSI 204 SE L 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,2.0 TSI 204 Sportline 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,2.0 TSI Laurin + Klement 4X4 5dr DSG,5,93,87,82,80
SKODA,SUPERB ESTATE,2.0 TSI Sportline 4X4 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,1.5 TSI e-TEC SE L 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,1.5 TSI e-TEC SE Technology 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,1.5 TSI e-TEC Sportline 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,2.0 TSI 204 Laurin + Klement 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,2.0 TSI 204 SE L 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,2.0 TSI 204 Sportline 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,2.0 TSI Laurin + Klement 4X4 5dr DSG,5,93,87,82,80
SKODA,SUPERB HATCHBACK,2.0 TSI Sportline 4X4 5dr DSG,5,93,87,82,80
SMART,HASHTAG 1 HATCHBACK,200kW Premium 66kWh 5dr Auto,5,96,89,71,88
SMART,HASHTAG 1 HATCHBACK,200kW Pro + 66kWh 5dr Auto,5,96,89,71,88
SMART,HASHTAG 1 HATCHBACK,200kW Pro 49kWh 5dr Auto,5,96,89,71,88
SMART,HASHTAG 1 HATCHBACK,200kW Pure 49kWh 5dr Auto,5,96,89,71,88
SMART,HASHTAG 1 HATCHBACK,315kW Brabus 66kWh 5dr Auto AWD,5,96,89,71,88
SMART,HASHTAG 3 ESTATE,200kW Premium 66kWh 5dr Auto,5,90,86,84,85
SMART,HASHTAG 3 ESTATE,200kW Pro + 66kWh 5dr Auto,5,90,86,84,85
SMART,HASHTAG 3 ESTATE,200kW Pro 49kWh 5dr Auto,5,90,86,84,85
SMART,HASHTAG 3 ESTATE,315kW Brabus 66kWh 5dr Auto AWD,5,90,86,84,85
SMART,HASHTAG 3 ESTATE SPECIAL EDITIONS,200kW 25th Anniversary Edition 66kWh 5dr Auto,5,90,86,84,85
SMART,HASHTAG 5 ESTATE,250kW Pro 76kWh 5dr Auto,5,88,93,84,92
SMART,HASHTAG 5 ESTATE,267kW Premium 100kWh 5dr Auto,5,88,93,84,92
SMART,HASHTAG 5 ESTATE,267kW Pro+ 100kWh 5dr Auto,5,88,93,84,92
SMART,HASHTAG 5 ESTATE,432kW Pulse 100kWh 5dr Auto AWD,5,88,93,84,92
SMART,HASHTAG 5 ESTATE,432kW Summit Edition 100kWh 5dr Auto AWD,5,88,93,84,92
SMART,HASHTAG 5 ESTATE,475kW Brabus 100kWh 5dr Auto AWD,5,88,93,84,92
SUBARU,CROSSTREK HATCHBACK,2.0i e-Boxer Limited 5dr Lineartronic,5,83,90,85,72
SUBARU,CROSSTREK HATCHBACK,2.0i e-Boxer Touring 5dr Lineartronic,5,83,90,85,72
SUBARU,FORESTER ESTATE,2.0i e-Boxer Field 5dr Lineartronic,5,83,89,86,72
SUBARU,FORESTER ESTATE,2.0i e-Boxer Limited 5dr Lineartronic,5,83,89,86,72
SUBARU,FORESTER ESTATE,2.0i e-Boxer Touring 5dr Lineartronic,5,83,89,86,72
SUBARU,OUTBACK ESTATE,2.5i Field 5dr Lineartronic,5,88,89,84,95
SUBARU,OUTBACK ESTATE,2.5i Limited 5dr Lineartronic,5,88,89,84,95
SUBARU,OUTBACK ESTATE,2.5i Touring 5dr Lineartronic,5,88,89,84,95
SUBARU,OUTBACK ESTATE SPECIAL EDITION,2.5i Touring X 5dr Lineartronic,5,88,89,84,95
SUBARU,SOLTERRA HATCHBACK,150kW Limited 71.4kWh 5dr Auto AWD,5,88,87,79,91
SUBARU,SOLTERRA HATCHBACK,150kW Touring 71.4kWh 5dr Auto AWD,5,88,87,79,91
SUZUKI,e VITARA ESTATE,106kW Motion 49kWh 5dr Auto,4,77,85,79,72
SUZUKI,e VITARA ESTATE,128kW Motion 61kWh 5dr Auto,4,77,85,79,72
SUZUKI,e VITARA ESTATE,128kW Ultra 61kWh 5dr Auto,4,77,85,79,72
SUZUKI,e VITARA ESTATE,135kW Motion ALLGRIP-e 61kWh 5dr Auto,4,77,85,79,72
SUZUKI,e VITARA ESTATE,135kW Ultra ALLGRIP-e 61kWh 5dr Auto,4,77,85,79,72
SUZUKI,SWIFT HATCHBACK,1.2 Mild Hybrid Motion 5dr,3,67,65,76,62
SUZUKI,SWIFT HATCHBACK,1.2 Mild Hybrid Motion 5dr CVT,3,67,65,76,62
SUZUKI,SWIFT HATCHBACK,1.2 Mild Hybrid Ultra 5dr,3,67,65,76,62
SUZUKI,SWIFT HATCHBACK,1.2 Mild Hybrid Ultra 5dr CVT,3,67,65,76,62
SUZUKI,SWIFT HATCHBACK,1.2 Mild Hybrid Ultra ALLGRIP 5dr,3,67,65,76,62
TESLA,MODEL 3 SALOON,Long Range AWD 85kWh 4dr Auto,5,90,93,89,87
TESLA,MODEL 3 SALOON,Long Range RWD 85kWh 4dr Auto,5,90,93,89,87
