amanufacturer,bmodel,cderivative,dncap_safetystar_rating,encap_safetyadult_occupants%_score,fncap_safetychild_occupants%_score,gncap_safetypedestrians%_score,hncap_safetysafety_assist%_score
BMW,I4 GRAN COUPE,250kW eDrive40 Sport 83.9kWh 5dr Auto [Tech Pack],4,87,87,71,64
BMW,I4 GRAN COUPE,440kW M60 83.9kWh 5dr Auto,4,87,87,71,64
BMW,I4 GRAN COUPE,440kW M60 83.9kWh 5dr Auto [Pro pack],4,87,87,71,64
BMW,I4 GRAN COUPE,440kW M60 83.9kWh 5dr Auto [Tech pack],4,87,87,71,64
BMW,I4 GRAN COUPE,440kW M60 83.9kWh 5dr Auto [Tech/Pro pack],4,87,87,71,64
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto [22kWCh],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto [Tech+/22kW],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto [Tech+],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto [Tech/Pro],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 M Sport 65kWh 5dr Auto Tech/Pro/22,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 Shadow Ed 65kWh 5dr Auto [22kWCh],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 Shadow Ed 65kWh 5dr Auto [Tech+],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 Shadow Ed 65kWh 5dr Auto Tech+/22kW,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,150kW eDrive20 Shadow Edition 65kWh 5dr Auto,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto [22kWCh],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto [Tech+/22kW],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto [Tech+],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto [Tech/Pro],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 M Sport 65kWh 5dr Auto Tech/Pro/22,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 Shadow Ed 65kWh 5dr Auto [22kWCh],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 Shadow Ed 65kWh 5dr Auto [Tech+],5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 Shadow Ed 65kWh 5dr Auto Tech+/22kW,5,85,88,76,92
BMW,iX2 ELECTRIC HATCHBACK,230kW xDrive30 Shadow Edition 65kWh 5dr Auto,5,85,88,76,92
BYD,ATTO 2 HATCHBACK,130kW Boost 51kWh 5dr Auto,5,91,89,69,74
BYD,ATTO 2 HATCHBACK,150kW Comfort 65kWh 5dr Auto,5,91,89,69,74
BYD,ATTO 3 HATCHBACK,150kW Comfort 60kWh 5dr Auto,5,91,89,69,74
BYD,ATTO 3 HATCHBACK,150kW Design 60kWh 5dr Auto,5,91,89,69,74
BYD,DOLPHIN HATCHBACK,150kW Comfort 60.4kWh Auto,5,89,87,85,79
BYD,DOLPHIN HATCHBACK,150kW Design 60.4kWh 5dr Auto,5,89,87,85,79
BYD,DOLPHIN SURF HATCHBACK,115kW Comfort 43kWh 5dr Auto,5,82,86,76,77
BYD,DOLPHIN SURF HATCHBACK,65kW Active 30kWh 5dr Auto,5,82,86,76,77
BYD,DOLPHIN SURF HATCHBACK,65kW Boost 43kWh 5dr Auto,5,82,86,76,77
BYD,SEAL SALOON,230kW Design 83kWh 4dr Auto,5,89,87,82,76
BYD,SEAL SALOON,390kW Excellence AWD 83kWh 4dr Auto,5,89,87,82,76
BYD,SEALION 7 ESTATE,230kW Comfort 83kWh 5dr Auto,5,87,93,76,79
BYD,SEALION 7 ESTATE,390kW Design AWD 83kWh 5dr Auto,5,87,93,76,79
BYD,SEALION 7 ESTATE,390kW Excellence AWD 91kWh 5dr Auto,5,87,93,76,79
CITROEN,E-C5 AIRCROSS ELECTRIC HATCHBACK,"157kW Max 73kWh 5dr Auto [20"" Alloy]",4,80,85,79,62
CITROEN,E-C5 AIRCROSS ELECTRIC HATCHBACK,157kW Plus 73kWh 5dr Auto,4,80,85,79,62
CITROEN,E-C5 AIRCROSS ELECTRIC HATCHBACK,157kW You 73kWh 5dr Auto,4,80,85,79,62
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V1 59kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V1 79kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V2 59kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V2 79kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V3 59kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,170kW e-Boost V3 79kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK,240kW e-Boost VZ 79kWh 5dr Auto,5,89,87,76,76
CUPRA,BORN ELECTRIC HATCHBACK SPECIAL EDITION,170kW e-Boost Exclusive Edition 59kWh 5dr Auto,5,89,87,76,76
CUPRA,TAVASCAN ESTATE,210kW V1 77kWh 5dr Auto [Winter Pack],5,89,86,80,79
CUPRA,TAVASCAN ESTATE,210kW V2 77kWh 5dr Auto,5,89,86,80,79
CUPRA,TAVASCAN ESTATE,210kW V2 77kWh 5dr Auto [Winter Pack],5,89,86,80,79
CUPRA,TAVASCAN ESTATE,250kW VZ1 77kWh AWD 5dr Auto,5,89,86,80,79
CUPRA,TAVASCAN ESTATE,250kW VZ1 77kWh AWD 5dr Auto [Winter Pack],5,89,86,80,79
CUPRA,TAVASCAN ESTATE,250kW VZ2 77kWh AWD 5dr Auto,5,89,86,80,79
CUPRA,TAVASCAN ESTATE,250kW VZ2 77kWh AWD 5dr Auto [Winter Pack],5,89,86,80,79
DS,No8 ESTATE,191kW Etoile 74kWh 5dr Auto,4,76,85,80,65
DS,No8 ESTATE,191kW Pallas 74kWh 5dr Auto,4,76,85,80,65
DS,No8 ESTATE,206kW Etoile 97kWh High Range 5dr Auto,4,76,85,80,65
DS,No8 ESTATE,206kW Pallas 97kWh High Range 5dr Auto,4,76,85,80,65
DS,No8 ESTATE,276kW Etoile 97kWh High Range 5dr Auto AWD,4,76,85,80,65
DS,No8 ESTATE SPECIAL EDITION,206kW Jules Verne 97kWh High Range 5dr Auto,4,76,85,80,65
DS,No8 ESTATE SPECIAL EDITION,276kW Jules Verne 97kWh High Range 5dr Auto AWD,4,76,85,80,65
FIAT,500 ELECTRIC CABRIO,87kW 42kWh 2dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC CABRIO,87kW Icon 42kWh 2dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC CABRIO,87kW La Prima 42kWh 2dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC CABRIO SPECIAL EDITIONS,87kW Red 42kWh 2dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK,70kW 24kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK,70kW Icon 24kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK,87kW 42kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK,87kW Icon 42kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK,87kW La Prima 42kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK SPECIAL EDITIONS,70kW Red 24kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK SPECIAL EDITIONS,87kW Giorgio Armani 42kWh 3dr Auto,4,76,80,67,67
FIAT,500 ELECTRIC HATCHBACK SPECIAL EDITIONS,87kW Red 42kWh 3dr Auto,4,76,80,67,67
FORD,CAPRI ESTATE,125kW Premium 52kWh 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,125kW Premium 52kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,CAPRI ESTATE,125kW Style 52kWh 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,125kW Style 52kWh 5dr Auto [Comfort Pack],5,89,86,80,72
FORD,CAPRI ESTATE,125kW Style 52kWh 5dr Auto [Comfort/Driver Assist],5,89,86,80,72
FORD,CAPRI ESTATE,125kW Style 52kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,CAPRI ESTATE,210kW Premium 77kWh 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,210kW Premium 77kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,CAPRI ESTATE,210kW Select 77kWh 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,210kW Select 77kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,CAPRI ESTATE,250kW Premium 79kWh AWD 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,250kW Premium 79kWh AWD 5dr Auto [Driver Assist],5,89,86,80,72
FORD,CAPRI ESTATE,250kW Select 79kWh AWD 5dr Auto,5,89,86,80,72
FORD,CAPRI ESTATE,250kW Select 79kWh AWD 5dr Auto [Driver Assist],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,125kW Premium 52kWh 5dr Auto,5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,125kW Premium 52kWh 5dr Auto [Driver Assist Pack],5,89,86,80,72
FORD,EXPLORER ELECTRIC ESTATE,125kW Style 52kWh 5dr Auto,5,89,86,80,72
